HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM5618	"AY415620,AY415621,AY415622"	10656	KHDRBS3	Other RNA-binding protein->Nucleic acid binding	Cell proliferation and differentiation;Spermatogenesis and motility->Gametogenesis->Developmental processes	4.86E-01	4.86E-01	1.00E+00	1.00E+00	1.15E-04	1.15E-08	1.00E-04	1.15E-04	1.15E-08	1.00E-04	37	5.03	3.88	8.91	13.17	3.21	16.38	1.73	0.67	2.78	0	5.18	1.52	2.54	4.06	0	0	0	0.37	0	0.52	0	0	0	0	0	0	4.12E-01	3.12E-01	2.49E-02	-1110.896	4.84E-01	5.02E+00	1.00E-04	-1110.921	4.84E-01	1.00E+03	1.23	8	134839680
HCM4022	"AY410832,AY410833,AY410834"	5876	RABGGTB	Acyltransferase->Transferase	Vision->Sensory perception;Protein-lipid modification->Protein modification->Protein metabolism and modification	1.95E-01	3.08E-01	1.00E+00	1.00E+00	5.30E-03	5.30E-07	1.00E-04	3.06E-03	3.06E-07	1.00E-04	40	18.15	1.03	19.18	8.7	3.85	12.55	3.14	0.49	3.83	0	7.46	1.44	0.63	2.07	0	0	0	0.5	0	0.33	0	0	0	0	0	0	3.72E-01	4.14E-01	5.29E-02	-1696.234	5.76E-01	9.99E+02	1.00E-04	-1696.287	5.76E-01	1.00E+03	0.63	1	75905262
HCM7519	"AY421323,AY421324,AY421325"	25886		Molecular function unclassified	Biological process unknown	4.15E-01	3.89E-04	1.00E+00	1.00E+00	1.37E-04	1.37E-08	1.00E-04	2.02E-02	2.02E-06	1.00E-04	52	11.03	3	14.03	5.5	1.07	6.57	1.49	0	4.39	0	5.88	0.82	0	0.82	0	0	0	0.11	0	0.17	0	0	0	0	0	0	1.00E+00	4.35E-01	-1.04E-03	-1796.156	4.30E-01	1.00E+03	1.24E+02	-1796.155	4.30E-01	8.09E+00	0.29	3	56912302
HCM5929	"AY416553,AY416554,AY416555"	9391		Molecular function unclassified	Biological process unclassified	4.83E-01	4.83E-01	1.00E+00	1.00E+00	1.28E-04	1.28E-08	1.00E-04	1.28E-04	1.28E-08	1.00E-04	48	22.32	2.1	24.42	3.37	0.46	3.83	1.49	6.78	3.86	0	12.13	2.33	0.69	3.02	0.23	0	0	0.07	0	0.28	0	0	0	0.04	0	0.04	1.00E+00	1.00E+00	-7.55E-05	-1712.893	4.44E-01	6.96E+02	2.47E+01	-1712.893	4.44E-01	2.81E+01	0.46	2	92823433
HCM2737	"AY406977,AY406978,AY406979"	25852		Molecular function unknown	Biological process unknown	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.15E-04	1.15E-08	1.00E-04	1.15E-04	1.15E-08	1.00E-04	39	15.15	2.15	17.3	5.08	6.86	11.94	0.44	0	0	0	0.44	2.32	0.36	2.68	0.11	0	0	0.17	0	0.38	0	0	0	0	0	0	4.08E-01	3.48E-01	2.68E-02	-1075.734	2.02E-01	5.13E+00	1.00E-04	-1075.76	2.02E-01	1.00E+03	0.34	3	142441762
HCM5175	"AY414291,AY414292,AY414293"	8666	EIF3S4	Translation initiation factor->Translation factor->Nucleic acid binding	Protein biosynthesis->Protein metabolism and modification	2.38E-01	2.11E-02	1.00E+00	1.00E+00	8.27E-03	8.27E-07	1.00E-04	2.87E-02	2.87E-06	1.00E-04	53	34.12	1.82	35.94	1.61	2.99	4.6	1.17	0	0	0.28	1.45	0.89	0.91	1.8	0	0	0	0.57	0	1.27	0	0	0	0	0	0	3.53E-01	3.83E-01	7.13E-02	-1349.981	4.56E-01	1.00E+03	1.00E-04	-1350.052	4.56E-01	1.00E+03	1.56	19	10664361
HCM2824	"AY407238,AY407239,AY407240"	10613		Molecular function unknown	Biological process unknown	5.68E-02	4.65E-01	1.00E+00	1.00E+00	3.94E-03	3.94E-07	1.00E-04	1.18E-04	1.18E-08	1.00E-04	40	16.13	1.59	17.72	8.79	2.62	11.41	2.39	0.57	2.36	0	5.32	1.99	1.36	3.35	0	0	0	0.52	0	0.63	0	0	0	0	0	0	1.00E+00	4.21E-01	-1.68E-03	-1506.085	3.28E-01	9.96E+02	1.51E+02	-1506.083	3.28E-01	6.75E+00	0.75	10	101900087
HCM5772	"AY416082,AY416083,AY416084"	5128	PCTK2	Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Biological process unclassified	1.96E-01	1.49E-01	1.00E+00	1.00E+00	8.05E-03	8.05E-07	1.00E-04	1.01E-02	1.01E-06	1.00E-04	38	16.22	0.76	16.98	13.34	3.22	16.56	0.6	0.64	0.96	0	2.2	3.91	0.68	4.59	0	0.1	0.14	0.53	0	0.46	0	0	0	0.14	0	0.14	3.75E-01	4.01E-01	5.10E-02	-1407.197	4.78E-01	9.99E+02	1.00E-04	-1407.248	4.78E-01	1.00E+03	1.05	12	96407286
HCM4474	"AY412188,AY412189,AY412190"	56341	HRMT1L3	Methyltransferase->Transferase	Protein methylation->Protein modification->Protein metabolism and modification	8.99E-03	4.58E-01	1.00E+00	1.00E+00	1.04E-02	1.04E-06	1.00E-04	1.35E-04	1.35E-08	1.00E-04	47	3.58	4.78	8.36	11.07	4.42	15.49	0.35	0.27	2.93	0	3.55	1.77	1.16	2.93	0	0	0	0.74	0	0.66	0	0	0	0	0	0	4.08E-01	1.00E+00	2.72E-02	-1197.071	1.67E-01	1.00E+03	1.00E-04	-1197.098	1.67E-01	1.00E+03	3.21	12	3676726
HCM7122	"AY420132,AY420133,AY420134"	10797	MTHFD2	Other hydrolase->Hydrolase;Dehydrogenase->Oxidoreductase	Other carbon metabolism->Other metabolism;Amino acid biosynthesis->Amino acid metabolism	4.15E-01	5.50E-02	1.00E+00	1.00E+00	7.35E-04	7.35E-08	1.00E-04	1.26E-02	1.26E-06	1.00E-04	45	28.08	1.8	29.88	4.81	2.13	6.94	0.86	0	2.86	0	3.72	2.18	0	2.18	0.08	0.49	0	0.77	0	0.56	0	0	0.05	0	0	0.05	1.00E+00	2.86E-01	-1.03E-03	-1478.633	7.40E-01	9.98E+02	5.31E+01	-1478.632	7.40E-01	1.88E+01	1.11	2	75348965
HCM1476	"AY403194,AY403195,AY403196"	5710	PSMD4	Other miscellaneous function protein->Miscellaneous function	Proteolysis->Protein metabolism and modification	1.05E-01	4.44E-01	1.00E+00	1.00E+00	4.41E-03	4.41E-07	1.00E-04	1.27E-04	1.27E-08	1.00E-04	48	28.14	0.93	29.07	2.22	2.54	4.76	1.79	0	0.39	0	2.18	0.65	0.65	1.3	0	0	0	0.22	0	0.3	0	0	0	0	0	0	4.02E-01	1.00E+00	3.09E-02	-1435.725	3.94E-01	1.00E+03	1.00E-04	-1435.756	3.94E-01	1.00E+03	1	1	125132225
HCM6014	"AY416808,AY416809,AY416810"	8774	NAPG	Molecular function unclassified	Constitutive exocytosis->Exocytosis->Intracellular protein traffic	4.98E-01	4.98E-01	1.00E+00	1.00E+00	1.21E-04	1.21E-08	1.00E-04	1.21E-04	1.21E-08	1.00E-04	42	6.59	1.57	8.16	13.81	2.73	16.54	2.43	0.33	0.94	0	3.7	1.33	0.43	1.76	0	0	0	0.4	0	0.46	0	0	0	0	0	0	4.42E-01	1.00E+00	1.06E-02	-586.6401	5.22E-01	5.01E+00	1.00E-04	-586.6507	5.21E-01	1.00E+03	2.92	18	10949828
HCM2984	"AY407718,AY407719,AY407720"	51150		Other select calcium binding proteins->Select calcium binding protein	Calcium mediated signaling->Intracellular signaling cascade->Signal transduction	2.09E-02	3.10E-01	1.00E+00	1.00E+00	6.83E-02	6.83E-06	1.00E-04	1.84E-02	1.84E-06	1.00E-04	59	12.32	0.16	12.48	5.69	0.52	6.21	0.67	0.34	0.2	1.39	2.6	0	0	0	0	0	0	0.56	0	1.81	0	0	0	0	0	0	4.25E-01	2.75E-01	1.78E-02	-374.7087	9.53E-01	1.00E+03	1.00E-04	-374.7265	9.52E-01	1.00E+03	3.35	1	440216
HCM2177	"AY405297,AY405298,AY405299"			Extracellular matrix glycoprotein->Extracellular matrix	Biological process unclassified	4.69E-02	4.65E-01	1.00E+00	1.00E+00	7.91E-03	7.91E-07	1.00E-04	1.40E-04	1.40E-08	1.00E-04	39	8.11	2.2	10.31	11.32	2.85	14.17	7.06	0	3.22	0.49	10.77	1.67	1.23	2.9	0	0	0	0.37	0	0.49	0	0	0	0	0	0	1.00E+00	1.71E-01	-6.41E-03	-992.8301	5.38E-01	9.98E+02	4.14E+02	-992.8237	5.39E-01	2.53E+00	0.91	8	56865756
HCM4618	"AY412620,AY412621,AY412622"	4074	M6PR	Other receptor->Receptor	Lysosome transport->Intracellular protein traffic	4.18E-01	4.28E-01	1.00E+00	1.00E+00	5.09E-03	5.09E-07	1.00E-04	1.19E-04	1.19E-08	1.00E-04	42	18.62	1.44	20.06	12.77	3.45	16.22	2.9	0.66	5.68	0	9.24	0.46	1.38	1.84	0	0	0	0.64	0	0.36	0	0	0	0	0	0	1.00E+00	3.43E-01	-3.67E-04	-1218.535	4.51E-01	9.92E+02	1.47E+02	-1218.535	4.51E-01	6.77E+00	1.33	12	8900982
HCM1637	"AY403677,AY403678,AY403679"	9016;9016	SLC25A14;SLC25A14	Mitochondrial carrier protein->Transfer/carrier protein	Small molecule transport->Transport	4.84E-01	4.84E-01	1.00E+00	1.00E+00	1.22E-04	1.22E-08	1.00E-04	1.22E-04	1.22E-08	1.00E-04	40	14.31	3.32	17.63	18.88	5.55	24.43	3.8	0	0.54	0	4.34	3.35	0.4	3.75	0	0	0	0.27	0	0.74	0	0	0	0.14	0	0.14	4.08E-01	1.00E+00	2.71E-02	-1437.874	4.25E-01	5.62E+00	1.00E-04	-1437.901	4.25E-01	1.00E+03	1.15	X	116864540
HCM6201	"AY417369,AY417370,AY417371"	643	BLR1	G-protein coupled receptor->Receptor	Cell motility->Cell structure and motility;Cytokine/chemokine mediated immunity->Immunity and defense;B-cell- and antibody-mediated immunity->Immunity and defense;G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction;Cytokine and chemokine mediated signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	4.83E-01	4.83E-01	1.00E+00	1.00E+00	1.75E-04	1.75E-08	1.00E-04	1.75E-04	1.75E-08	1.00E-04	52	22.12	3.31	25.43	0.28	3	3.28	0.63	2.18	1.98	0	4.79	1.27	0	1.27	0	0	0	0.23	0	1.21	0	0	0	0	0	0	1.00E+00	4.73E-02	-1.49E-04	-1761.848	9.96E-01	1.00E+03	1.13E+02	-1761.848	9.96E-01	8.82E+00	0.96	11	115946196
HCM6295	"AY417651,AY417652,AY417653"	9054	NFS1	Other transferase->Transferase	Nitrogen utilization->Nitrogen metabolism	4.84E-01	4.84E-01	1.00E+00	1.00E+00	1.18E-04	1.18E-08	1.00E-04	1.18E-04	1.18E-08	1.00E-04	43	30.35	1.27	31.62	2.71	1.55	4.26	0.35	0	0.2	0.93	1.48	0.26	0	0.26	0	0	0	0.66	0	0.36	0	0	0	0.18	0	0.18	4.42E-01	4.22E-01	1.06E-02	-1238.17	4.42E-01	5.32E+00	1.00E-04	-1238.181	4.42E-01	1.00E+03	0.55	20	31021172
HCM5367	"AY414867,AY414868,AY414869"	81890		Glycosyltransferase->Transferase	"tRNA metabolism->Nucleoside, nucleotide and nucleic acid metabolism"	2.34E-01	4.41E-01	1.00E+00	1.00E+00	8.80E-03	8.80E-07	1.00E-04	1.55E-04	1.55E-08	1.00E-04	51	39.9	2.24	42.14	3.43	3.02	6.45	0.35	0.16	0.48	0	0.99	0.62	0.16	0.78	0	0	0	0.39	0	0.25	0	0	0	0	0	0	1.00E+00	1.03E-01	-5.41E-04	-1002.279	8.51E-01	1.00E+03	3.94E+01	-1002.278	8.51E-01	2.54E+01	1.18	19	11249772
HCM4023	"AY410835,AY410836,AY410837"	11080	DNAJB4	Other chaperones->Chaperone	Stress response->Immunity and defense;Protein folding->Protein metabolism and modification	4.72E-01	4.72E-01	1.00E+00	1.00E+00	1.35E-04	1.35E-08	1.00E-04	1.35E-04	1.35E-08	1.00E-04	38	18.19	2.01	20.2	3.11	4.23	7.34	0.74	0.22	0.7	0	1.66	1.55	0.98	2.53	0.06	0	0	0.87	0	0.67	0	0	0	0	0	0	1.00E+00	4.36E-01	-1.50E-03	-1116.171	4.63E-01	9.65E+02	1.44E+02	-1116.169	4.63E-01	6.91E+00	0.51	1	78120701
HCM6053	"AY416925,AY416926,AY416927"	10623		DNA-directed RNA polymerase->Nucleic acid binding	"General mRNA transcription activities->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.64E-01	5.70E-02	1.00E+00	1.00E+00	1.17E-04	1.17E-08	1.00E-04	4.58E-03	4.58E-07	1.00E-04	45	23.91	1.86	25.77	8.54	4.66	13.2	0.84	0	1.14	0	1.98	0.65	0.56	1.21	0	0	0	0.52	0	0.54	0	0.06	0	0	0	0.06	1.00E+00	1.00E+00	-1.03E-03	-1372.384	4.81E-01	9.85E+02	1.47E+02	-1372.383	4.81E-01	6.84E+00	0.03	1	121531333
HCM5913	"AY416505,AY416506,AY416507"	9454	HOMER3	Other signaling molecule->Signaling molecule	Other neuronal activity->Neuronal activities;Calcium mediated signaling->Intracellular signaling cascade->Signal transduction;G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction	4.88E-01	4.88E-01	1.00E+00	1.00E+00	1.39E-04	1.39E-08	1.00E-04	1.39E-04	1.39E-08	1.00E-04	55	39.76	1.7	41.46	1.22	2.16	3.38	1.03	0.3	1.28	0	2.61	0.28	0.46	0.74	0	0	0	0.72	0	1.95	0	0	0	0	0	0	4.74E-01	4.39E-01	2.12E-03	-414.601	5.63E-01	4.99E+00	1.00E-04	-414.6031	5.63E-01	1.00E+03	1.53	19	20034229
HCM2200	"AY405366,AY405367,AY405368"	26984	SEC22L2	Molecular function unclassified	Biological process unclassified	4.68E-01	4.97E-02	1.00E+00	1.00E+00	1.29E-04	1.29E-08	1.00E-04	4.58E-03	4.58E-07	1.00E-04	40	13.31	2.7	16.01	20.45	3.91	24.36	0.83	1.1	0.76	0	2.69	1.41	0.94	2.35	0	0	0	0.43	0	0.53	0	0	0	0	0	0	1.00E+00	2.04E-01	-1.02E-04	-1388.692	2.29E-01	1.00E+03	1.03E+01	-1388.692	2.29E-01	9.72E+01	0.77	3	125326214
HCM4219	"AY411423,AY411424,AY411425"	1613	DAPK3	Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Interferon-mediated immunity->Immunity and defense;Intracellular signaling cascade->Signal transduction;Protein phosphorylation->Protein modification->Protein metabolism and modification	4.77E-01	4.77E-01	1.00E+00	1.00E+00	2.14E-04	2.14E-08	1.00E-04	2.14E-04	2.14E-08	1.00E-04	55	40.24	1.32	41.56	3.36	0.3	3.66	1.57	0.44	1.14	0	3.15	0.87	0	0.87	0	0	0	0.61	0	1.17	0	0	0	0	0	0	1.00E+00	1.00E+00	-2.14E-04	-573.3585	1.20E+00	9.98E+02	7.25E+00	-573.3583	1.20E+00	1.38E+02	2.28	19	3787221
HCM5210	"AY414396,AY414397,AY414398"	1398	CRK	Molecular function unclassified	G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.21E-04	1.21E-08	1.00E-04	1.21E-04	1.21E-08	1.00E-04	51	40.54	1.85	42.39	0.86	2.09	2.95	0.86	0	0.05	0	0.91	0.26	0	0.26	0	0	0	0.3	0	0.48	0	0	0	0	0	0	4.53E-01	8.75E-02	6.89E-03	-952.8359	9.63E-02	4.53E+00	1.00E-04	-952.8427	9.63E-02	1.00E+03	2.37	17	1783800
HCM3927	"AY410547,AY410548,AY410549"	51305	KCNK9	Other ion channel->Ion channel	Cation transport->Ion transport->Transport	4.32E-01	7.87E-02	1.00E+00	1.00E+00	1.59E-04	1.59E-08	1.00E-04	1.26E-02	1.26E-06	1.00E-04	53	2.43	4.79	7.22	6.95	3.04	9.99	3.75	0.87	0	0	4.62	1	2.03	3.03	0	0	0	0.36	0	1.7	0	0	0	0	0	0	1.00E+00	6.45E-04	-1.24E-03	-1733.877	1.50E+00	9.97E+02	5.13E+02	-1733.876	1.50E+00	1.96E+00	2.57	8	139652135
HCM6194	"AY417348,AY417349,AY417350"	1869	E2F1	Other transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.86E-01	4.86E-01	1.00E+00	1.00E+00	1.45E-04	1.45E-08	1.00E-04	1.45E-04	1.45E-08	1.00E-04	52	24.66	5.06	29.72	2.2	4.6	6.8	0.5	0.85	0.48	0	1.83	1.67	0	1.67	0	0	0.15	1	0	0.69	0	0	0	0	0	0	1.00E+00	4.14E-01	-2.61E-03	-984.8406	4.73E-01	5.03E+00	1.00E-04	-984.838	4.73E-01	1.00E+03	0.49	20	29035276
HCM6943	"AY419595,AY419596,AY419597"	1019	CDK4	Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Cell cycle control->Cell cycle	6.33E-02	4.77E-01	1.00E+00	1.00E+00	4.56E-03	4.56E-07	1.00E-04	1.07E-04	1.07E-08	1.00E-04	49	16.23	1.91	18.14	8.29	4.46	12.75	0.27	0	0	0	0.27	0.32	1.21	1.53	0	0	0	1.01	0	0.66	0	0	0	0	0	0	1.00E+00	1.00E+00	-8.02E-04	-1243.015	5.13E-01	1.00E+03	2.60E+01	-1243.014	5.13E-01	3.85E+01	0.45	12	56734767
HCM5542	"AY415392,AY415393,AY415394"			Other transporter->Transporter	Other transport->Transport;Carbohydrate transport->Transport;Small molecule transport->Transport;Carbohydrate transport->Carbohydrate metabolism	4.45E-01	7.48E-02	1.00E+00	1.00E+00	1.06E-04	1.06E-08	1.00E-04	2.94E-03	2.94E-07	1.00E-04	38	20.05	1.94	21.99	14.01	2.76	16.77	0.84	0	1.06	0	1.9	0.7	0.41	1.11	0	0	0	1.03	0	0.58	0	0	0	0	0	0	3.58E-01	1.00E+00	6.65E-02	-1813.709	3.12E-01	1.00E+03	1.00E-04	-1813.776	3.12E-01	1.00E+03	0.76	1	100016362
HCM7055	"AY419931,AY419932,AY419933"	55644	OSGEP	Metalloprotease->Protease	Biological process unclassified	4.87E-01	4.87E-01	1.00E+00	1.00E+00	1.13E-04	1.13E-08	1.00E-04	1.13E-04	1.13E-08	1.00E-04	45	17.7	1.65	19.35	3.04	5.89	8.93	2.17	0	1.68	0	3.85	2.29	0	2.29	0	0	0	0.72	0	0.76	0	0.09	0	0	0	0.09	1.00E+00	3.81E-01	-5.05E-05	-1769.068	5.52E-01	8.51E+02	5.38E+01	-1769.068	5.52E-01	1.58E+01	5.43	14	991787
HCM1118	"AY402120,AY402121,AY402122"	6781	STC1	Protein/peptide hormone->Signaling molecule	Calcium ion homeostasis->Homeostasis;Cell surface receptor mediated signal transduction->Signal transduction	1.66E-03	4.66E-01	1.00E+00	1.00E+00	1.76E-02	1.76E-06	1.00E-04	1.40E-04	1.40E-08	1.00E-04	40	4.4	3.49	7.89	16.96	6.55	23.51	1.79	1.96	0.41	0	4.16	0.95	0.17	1.12	0	0	0	0.29	0	1.23	0	0	0	0	0	0	4.57E-01	4.73E-01	5.75E-03	-1213.024	3.19E-01	9.99E+02	1.00E-04	-1213.03	3.19E-01	1.00E+03	1.78	8	23833934
HCM0299	"AY399663,AY399664,AY399665"	5581	PRKCE	Protein kinase->Kinase	Intracellular signaling cascade->Signal transduction;Cell surface receptor mediated signal transduction->Signal transduction;Protein phosphorylation->Protein modification->Protein metabolism and modification	9.27E-02	4.77E-02	1.00E+00	1.00E+00	6.02E-03	6.02E-07	1.00E-04	7.15E-03	7.15E-07	1.00E-04	45	8.84	3.55	12.39	7.58	2.43	10.01	0.58	0	2.47	0	3.05	1.56	0	1.56	0	0	0	0.09	0	0.36	0	0	0	0	0	0	3.77E-01	4.27E-01	4.91E-02	-3309.369	3.56E-01	1.00E+03	1.00E-04	-3309.418	3.56E-01	1.00E+03	1.36	2	46165515
HCM7465	"AY421161,AY421162,AY421163"	5058	PAK1	Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Signal transduction;Protein phosphorylation->Protein modification->Protein metabolism and modification	1.23E-02	4.48E-01	1.00E+00	1.00E+00	5.29E-03	5.29E-07	1.00E-04	1.19E-04	1.19E-08	1.00E-04	40	10.41	5.8	16.21	10.63	8.91	19.54	0.84	0.4	0	0	1.24	1.13	2.38	3.51	0.07	0	0	0.07	0	1.02	0	0	0	0	0	0	3.66E-01	4.28E-03	5.84E-02	-2165.11	2.86E-01	1.00E+03	1.00E-04	-2165.168	2.86E-01	1.00E+03	1.12	11	73285800
HCM7264	"AY420558,AY420559,AY420560"	4665	NAB2	Transcription cofactor->Transcription factor	"Developmental processes;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.43E-04	1.43E-08	1.00E-04	1.43E-04	1.43E-08	1.00E-04	49	19.89	3.12	23.01	3.44	2.21	5.65	0.93	0	0	0	0.93	1.22	1.96	3.18	0.16	0	0	0.59	0	0.99	0	0	0	0	0	0	1.00E+00	4.14E-01	-2.41E-03	-433.5994	5.14E-01	5.25E+00	3.46E-02	-433.597	5.14E-01	1.52E+02	0.64	12	56078842
HCM4574	"AY412488,AY412489,AY412490"	5593	PRKG2	Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Signal transduction;Protein phosphorylation->Protein modification->Protein metabolism and modification	2.14E-01	1.18E-02	1.00E+00	1.00E+00	3.28E-03	3.28E-07	1.00E-04	7.88E-03	7.88E-07	1.00E-04	37	4.17	2.45	6.62	19.77	2.27	22.04	2.23	0.18	0.4	0	2.81	1.26	0	1.26	0	0	0.13	0.63	0	0.77	0	0	0	0	0	0	3.51E-01	7.21E-02	7.33E-02	-2832.118	4.90E-01	1.00E+03	1.00E-04	-2832.191	4.90E-01	1.00E+03	0.7	4	80065566
HCM4813	"AY413205,AY413206,AY413207"	81577		Molecular function unclassified	Biological process unclassified	4.81E-01	4.81E-01	1.00E+00	1.00E+00	1.75E-04	1.75E-08	1.00E-04	1.75E-04	1.75E-08	1.00E-04	51	25.2	1.79	26.99	3.99	2.78	6.77	0	0.6	0.89	0	1.49	0.7	0	0.7	0.07	0	0	0.94	0	0.71	0	0	0	0	0	0	4.84E-01	1.00E+00	8.25E-04	-423.727	6.05E-01	4.73E+00	1.00E-04	-423.7278	6.05E-01	1.00E+03	0.34	16	56250203
HCM4738	"AY412980,AY412981,AY412982"	8424	BBOX1	Hydroxylase->Oxidoreductase;Oxygenase->Oxidoreductase	Vitamin biosynthesis->Vitamin metabolism->Coenzyme and prosthetic group metabolism	5.71E-02	1.84E-01	1.00E+00	1.00E+00	1.53E-02	1.53E-06	1.00E-04	7.84E-03	7.84E-07	1.00E-04	37	3.3	2.58	5.88	16.86	4.26	21.12	5.04	0.11	0.64	0.96	6.75	1	0	1	0	0	0	0.37	0	0.53	0	0.07	0	0	0	0.07	1.00E+00	1.00E+00	-2.18E-03	-1838.608	6.45E-01	1.00E+03	2.49E+02	-1838.606	6.45E-01	4.01E+00	0.86	11	26909689
HCM1555	"AY403431,AY403432,AY403433"	1731	1-Sep	Other hydrolase->Hydrolase;Small GTPase->G-protein->Select regulatory molecule;Other cytoskeletal proteins->Cytoskeletal protein	Cytokinesis->Mitosis->Cell cycle	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.35E-04	1.35E-08	1.00E-04	1.35E-04	1.35E-08	1.00E-04	53	23.42	3.14	26.56	0.59	6.35	6.94	0.5	0	0	0	0.5	0.32	0.27	0.59	0	0	0.15	0.23	0	0.47	0	0	0	0	0	0	1.00E+00	2.63E-01	-3.36E-03	-674.4751	4.75E-01	5.24E+00	2.95E-01	-674.4718	4.75E-01	1.77E+01	2.51	22	35710439
HCM4989	"AY413733,AY413734,AY413735"	6175	RPLP0	Ribosomal protein->Nucleic acid binding	Protein biosynthesis->Protein metabolism and modification	4.60E-01	6.76E-02	1.00E+00	1.00E+00	1.43E-04	1.43E-08	1.00E-04	6.69E-03	6.69E-07	1.00E-04	51	25.55	3.66	29.21	2.42	2.42	4.84	0.51	0	0	0	0.51	1.54	0	1.54	0	0	0	0.25	0	0.56	0	0	0	0	0	0	4.42E-01	1.00E+00	1.06E-02	-1018.704	3.20E-01	5.75E+00	1.00E-04	-1018.715	3.20E-01	1.00E+03	0.91	12	120270814
HCM0246	"AY399504,AY399505,AY399506"	29926		Nucleotidyltransferase->Transferase	Biological process unclassified	4.82E-01	4.82E-01	1.00E+00	1.00E+00	1.29E-04	1.29E-08	1.00E-04	1.29E-04	1.29E-08	1.00E-04	58	5.79	6.16	11.95	0	3.63	3.63	0	0.4	0	0	0.4	1.43	0	1.43	0	0	0	0.54	0	1.11	0	0	0	0	0	0	4.30E-01	1.00E+00	1.56E-02	-1546.981	4.39E-01	4.73E+00	1.00E-04	-1546.996	4.39E-01	1.00E+03	1.95	2	217483076
HCM3187	"AY408327,AY408328,AY408329"	1371	CPO	Oxidase->Oxidoreductase	Porphyrin metabolism->Coenzyme and prosthetic group metabolism;Coenzyme metabolism->Coenzyme and prosthetic group metabolism	4.89E-01	4.89E-01	1.00E+00	1.00E+00	1.21E-04	1.21E-08	1.00E-04	1.21E-04	1.21E-08	1.00E-04	39	8.5	2.94	11.44	11.91	0.24	12.15	4.27	2.07	0.84	0	7.18	1.4	1.44	2.84	0	0	0	0.68	0	0.67	0	0	0	0.03	0	0.03	1.00E+00	2.44E-02	-1.96E-05	-480.5059	4.38E-01	9.79E+02	1.24E+02	-480.5059	4.38E-01	7.88E+00	0.34	3	100224487
HCM2049	"AY404913,AY404914,AY404915"	4613	MYCN	Basic helix-loop-helix transcription factor->Transcription factor	"Induction of apoptosis->Apoptosis;Cell cycle control->Cell cycle;Oncogene->Oncogenesis;MAPKKK cascade->Intracellular signaling cascade->Signal transduction;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.83E-01	4.83E-01	1.00E+00	1.00E+00	2.23E-04	2.23E-08	1.00E-04	2.23E-04	2.23E-08	1.00E-04	46	18.57	4.38	22.95	9.28	2.24	11.52	2.91	0.53	1.6	0	5.04	0.45	0.97	1.42	0	0	0	0.32	0	1.54	0	0	0	0.1	0	0.1	1.00E+00	4.28E-01	-2.02E-04	-344.4741	3.45E-01	2.06E+01	1.00E-04	-344.4739	3.45E-01	1.00E+03	1.4	2	16463437
